age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,job1,marital1,education1,housing1,loan1,contact1,month1,day_of_week1,poutcome1
30,BLUECOLLAR,MARRIED,BASIC.9Y,NO,YES,NO,CELLULAR,MAY,FRI,2.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,True,1,1,2,2,0,0,6,0,1
39,SERVICES,SINGLE,HIGH.SCHOOL,NO,NO,NO,TELEPHONE,MAY,FRI,4.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.855,5191.0,True,7,2,3,0,0,1,6,0,1
25,SERVICES,MARRIED,HIGH.SCHOOL,NO,YES,NO,TELEPHONE,JUN,WED,1.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.962,5228.1,True,7,1,3,2,0,1,4,4,1
38,SERVICES,MARRIED,BASIC.9Y,NO,UNKNOWN,UNKNOWN,TELEPHONE,JUN,FRI,3.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.959,5228.1,True,7,1,2,1,1,1,4,0,1
47,ADMIN,MARRIED,UNIVERSITY.DEGREE,NO,YES,NO,CELLULAR,NOV,MON,1.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.191,5195.8,True,0,1,6,2,0,0,7,1,1
32,SERVICES,SINGLE,UNIVERSITY.DEGREE,NO,NO,NO,CELLULAR,SEP,THU,3.0,999,2,FAILURE,-1.1,94.199,-37.5,0.884,4963.6,True,7,2,6,0,0,0,9,2,0
32,ADMIN,SINGLE,UNIVERSITY.DEGREE,NO,YES,NO,CELLULAR,SEP,MON,4.0,999,0,NONEXISTENT,-1.1,94.199,-37.5,0.879,4963.6,True,0,2,6,2,0,0,9,1,1
41,ENTREPRENEUR,MARRIED,UNIVERSITY.DEGREE,UNKNOWN,YES,NO,CELLULAR,NOV,MON,2.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.191,5195.8,True,2,1,6,2,0,0,7,1,1
31,SERVICES,DIVORCED,PROFESSIONAL.COURSE,NO,NO,NO,CELLULAR,NOV,TUE,1.0,999,1,FAILURE,-0.1,93.2,-42.0,4.1530000000000005,5195.8,True,7,0,5,0,0,0,7,3,0
35,BLUECOLLAR,MARRIED,BASIC.9Y,UNKNOWN,NO,NO,TELEPHONE,MAY,THU,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.855,5191.0,True,1,1,2,0,0,1,6,2,1
